Method,Similarity_measure,Number_of_neighbors,Train_percentage,Test_percentage,Error_measure,Error_value,Time
User_based,mean_absolute_difference,100,30,20,Zero-one,0.17935599567499144,528.6384811401367
User_based,pearson_correlation,10,30,30,RMSE,1.6448340823001095,111.46436667442322
User_based,pearson_correlation,10,30,30,MAE,1.0635575252220555,111.46436667442322
User_based,pearson_correlation,10,30,30,Zero-one,0.2072192056824779,111.46436667442322
User_based,pearson_correlation,25,30,30,RMSE,1.2505249277149963,181.8269271850586
User_based,pearson_correlation,25,30,30,MAE,0.8026583853021018,181.8269271850586
User_based,pearson_correlation,25,30,30,Zero-one,0.20823230770982026,181.8269271850586
User_based,pearson_correlation,50,30,30,RMSE,1.0251700327323368,301.5473449230194
User_based,pearson_correlation,50,30,30,MAE,0.6830402717479741,301.5473449230194
User_based,pearson_correlation,50,30,30,Zero-one,0.1972589329417523,301.5473449230194
User_based,pearson_correlation,100,30,30,RMSE,0.8893612398694732,538.8589344024658
User_based,pearson_correlation,100,30,30,MAE,0.6217940149544149,538.8589344024658
User_based,pearson_correlation,100,30,30,Zero-one,0.18663843640792724,538.8589344024658
User_based,cosine_similarity,10,30,30,RMSE,2.0881951254759668,99.5722029209137
User_based,cosine_similarity,10,30,30,MAE,1.5022375626814524,99.5722029209137
User_based,cosine_similarity,10,30,30,Zero-one,0.2154150872519892,99.5722029209137
User_based,cosine_similarity,25,30,30,RMSE,1.7445885135911399,172.3279767036438
User_based,cosine_similarity,25,30,30,MAE,1.224219664782328,172.3279767036438
User_based,cosine_similarity,25,30,30,Zero-one,0.23719108925542692,172.3279767036438
User_based,cosine_similarity,50,30,30,RMSE,1.5088501084043873,291.85016536712646
User_based,cosine_similarity,50,30,30,MAE,1.0625745659359265,291.85016536712646
User_based,cosine_similarity,50,30,30,Zero-one,0.24397545788796685,291.85016536712646
User_based,cosine_similarity,100,30,30,RMSE,1.3112102337349083,531.2119629383087
User_based,cosine_similarity,100,30,30,MAE,0.9386353437858495,531.2119629383087
User_based,cosine_similarity,100,30,30,Zero-one,0.24487472822684378,531.2119629383087
User_based,mean_squared_difference,10,30,30,RMSE,2.0977733257600337,98.93310928344727
User_based,mean_squared_difference,10,30,30,MAE,1.4492171544153547,98.93310928344727
User_based,mean_squared_difference,10,30,30,Zero-one,0.18737834238295256,98.93310928344727
User_based,mean_squared_difference,25,30,30,RMSE,1.6259473707966021,170.02118062973022
User_based,mean_squared_difference,25,30,30,MAE,1.053786455069205,170.02118062973022
User_based,mean_squared_difference,25,30,30,Zero-one,0.19978599642568498,170.02118062973022
User_based,mean_squared_difference,50,30,30,RMSE,1.309135791943639,290.67324686050415
User_based,mean_squared_difference,50,30,30,MAE,0.8412777842480573,290.67324686050415
User_based,mean_squared_difference,50,30,30,Zero-one,0.19664424182403897,290.67324686050415
User_based,mean_squared_difference,100,30,30,RMSE,1.0703983458567756,533.226279258728
User_based,mean_squared_difference,100,30,30,MAE,0.7146217415357389,533.226279258728
User_based,mean_squared_difference,100,30,30,Zero-one,0.1786702182153468,533.226279258728
User_based,mean_absolute_difference,10,30,30,RMSE,2.091690516226945,96.6103446483612
User_based,mean_absolute_difference,10,30,30,MAE,1.4398417016165308,96.6103446483612
User_based,mean_absolute_difference,10,30,30,Zero-one,0.18441871848285127,96.6103446483612
User_based,mean_absolute_difference,25,30,30,RMSE,1.6282815121899419,170.3589026927948
User_based,mean_absolute_difference,25,30,30,MAE,1.055763912493625,170.3589026927948
User_based,mean_absolute_difference,25,30,30,Zero-one,0.19975184691914535,170.3589026927948
